ID,CLIENT,APP_ID,RELEASE_DATE,RELEASE_VERSION,DB_NAME,RELEASE_WHO,ENVIRONMENT,BUILD_NUMBER
268,Boeing-IDS,ids,"2018-03-24",18.2.0.10,OP11.WORLD,jraj,Production,
269,Boeing(BMA),bma,"2017-11-02",17.8.0.21,OT60.WORLD,rgodavarthy,QA,
270,Siemens,sms,"2017-11-02",17.7.0.22,OT00.WORLD,rgodavarthy,QA,
271,Siemens,sms,"2017-11-02",17.7.0.87,OT00.WORLD,vshekar,QA,
272,Siemens,sms,"2017-11-03",17.7.0.89,OT00.WORLD,vshekar,QA,
273,Comcast,cst,"2017-11-20",17.8.0.40,OT09.WORLD,vshekar,QA,
274,Nike,nke,"2018-01-23",17.9.0.33,OP65.WORLD,vshekar,Production,
275,Raytheon,rtn,"2018-01-23",17.9.0.33,OP81.WORLD,vshekar,Production,
276,Siemens,sms,"2018-01-29",18.1.0.2,OT00.WORLD,jraj,QA,
277,Trinity,trt,"2018-01-29",18.1.0.2,OT36.WORLD,jraj,QA,
278,Nike,nke,"2018-02-26",18.2.0.7,OT65.WORLD,rgodavarthy,QA,
279,Sundial,sdl,"2018-03-09",18.1.0.35,OT62.WORLD,jraj,QA,
280,CAT,cat,"2018-03-13",18.2.0.13,OT33.WORLD,jraj,QA,
281,Nike,nke,"2017-12-07",17.9.0.4,OT65.WORLD,rgodavarthy,QA,
282,Boeing-Supplier-Portal,bsp,"2017-12-15",17.6.0.34,OP15.WORLD,rgodavarthy,Production,
283,Nike,nke,"2018-02-08",18.2.0.0,OP65.WORLD,rgodavarthy,Production,
284,NuSkin,nus,"2018-03-15",18.2.0.18,OP64.WORLD,jraj,Production,
285,Pandora,pt,"2017-11-02",17.7.0.78,OP29.WORLD,rgodavarthy,Production,
286,Service-Parts,sp,"2017-08-21",17.6.0.31,OT08.WORLD,jraj,QA,
287,Comcast,cst,"2017-08-21",17.6.0.31,OT09.WORLD,jraj,QA,
288,Nike,nke,"2017-08-02",17.6.0.9,OT65.WORLD,jraj,QA,
289,Boeing_Supplier_Portal,bsp,"2017-08-16",17.6.0.23,OT15.WORLD,jraj,QA,
290,Comcast,cst,"2017-08-18",17.6.0.30,OT09.WORLD,jraj,QA,
291,Meritor,mtor,"2017-08-29",17.7.0.8,OT69.WORLD,vshekar,QA,
292,Nike,nke,"2017-09-01",17.7.0.17,OT65.WORLD,vshekar,QA,
293,BP,bp,"2017-09-01",17.7.0.17,OT66.WORLD,jraj,QA,
294,Comcast,cst,"2017-09-01",17.6.0.32,OT09.WORLD,vshekar,QA,
295,Boeing-Supplier-Portal,bsp,"2017-09-06",17.6.0.34,OT15.WORLD,jraj,QA,
296,New-Era,sp,"2017-09-01",17.6.0.33,OT08.WORLD,jraj,QA,
297,Pandora,pt,"2017-09-05",17.7.0.19,OT29.WORLD,jraj,QA,
298,Pandora,pt,"2017-09-18",17.7.0.47,OT29.WORLD,vshekar,QA,
299,Meritor,mtor,"2017-09-22",17.7.0.65,OP69.WORLD,vshekar,Production,
300,Disney,sp2,"2017-09-26",17.7.0.66,OP10.WORLD,jraj,Production,
301,Disney,sp2,"2017-09-27",17.7.0.72,OT10.WORLD,jraj,QA,
302,Meritor,mtor,"2017-09-27",17.7.0.72,OT69.WORLD,jraj,QA,
303,IDS,ids,"2017-09-28",17.7.0.72,OT11.WORLD,jraj,QA,
304,HP,hp,"2017-09-29",17.7.0.74,OT35.WORLD,jraj,QA,
305,Dow,dow,"2017-09-29",17.7.0.74,OT63.WORLD,jraj,QA,
